"baseMean","log2FoldChange","lfcSE","svalue"
"ACER3",39.8885860720999,-0.0120099199090428,0.112065633213619,0.372559308618181
"ACHE",2.51920441762605,-0.000803656478694812,0.11256102351696,0.454819409495804
"ACIN1",1731.90181160215,-0.031830068491037,0.107161307133983,0.307513024998126
"ACKR1",0.90288002549296,0.000592606363035056,0.112657282292712,0.462346218704827
"ACKR2",1.75279278483683,-0.000722963715763202,0.112659683159463,0.458690660601954
"ACKR3",10.4961369061245,0.00634332308216514,0.112684591181259,0.398757698763899
"ACKR4",1.14573636870925,-0.000804894653462732,0.112656998046493,0.454790545832787
"ACLY",803.610763300204,0.024239717283313,0.106139308566886,0.329353482894716
"ACMSD",2.00958806606548,0.000718446417712264,0.112658311613369,0.460050145139447
"ACO1",33.2307712960169,0.000386749116202687,0.111389560858865,0.464655949971724
"ACO2",321.414806271661,-0.0305386578213632,0.11139961151504,0.314808384413606
"ACOT1",0.450881053566582,-0.000170546686842276,0.112657645024123,0.469642286073758
"ACOT11",13.4156279792058,0.00167282594496945,0.112223580152435,0.442636712715852
"ACOT12",2.80042004976647,-5.86978706771509e-05,0.112617301185673,0.472431996615092
"ACOT13",28.4960532787553,-0.000772922216426006,0.111900200987089,0.45636066400974
"ACOT2",1.76442869336496,-0.00209273677379492,0.112673008779419,0.437157745241466
"ACOT4",1.51739373395113,0.00171805439380635,0.112663834620381,0.442110264189971
"ACOT6",0.790557005532543,-0.00082945318808557,0.112662606405053,0.453604342723773
"ACOT7",82.2042912255973,-0.00673234078671777,0.111241761922224,0.396079954672721
"ACOT8",6.27512391984376,0.000328033253456201,0.112347091235456,0.465255170360856
"ACOT9",33.518984735257,-0.000599829742944208,0.111115459562379,0.462062894428603
"ACOX1",26.5660613209522,-0.00113159631143858,0.111568106415507,0.448114473568506
"ACOX2",3.43184921731278,0.00411186794352782,0.112723955020696,0.415681040049069
"ACOX3",3.26502442034719,-0.000383876392342839,0.112628674338418,0.464712921771553
"ACOXL",3.16792983342907,-0.00122667200819152,0.112665648693245,0.447200151179693
"ACP1",116.125100798454,-0.0355521468948054,0.116168225438139,0.304250053901717
"ACP2",48.6957462825955,0.00164332972070303,0.110876939425264,0.442772539996495
"ACP5",50.2606002771503,0.0114436423730684,0.111376274160188,0.374390805736674
"ACP6",5.13991475339411,-0.00132595013680512,0.112461615992424,0.446118791468702
"ACPP",4.51317751987105,0.000726565724576216,0.112504087607883,0.457832285365781
"ACPT",1.59956964925191,-0.0018101990062427,0.112663494338426,0.441000272620148
"ACR",0.97399823776728,-0.000679129397861776,0.112659144343649,0.460965426026305
"ACRBP",5.01251227380696,0.00175076697612767,0.112570158752852,0.441733791703929
"ACRC",2.11307114064584,-0.000260381561389796,0.112641248080858,0.465917866713549
"ACRV1",1.01812555853631,-0.000519718311591762,0.112650648678885,0.463645384490391
"ACSBG1",17.6568200348713,0.00126635714407118,0.112101845279508,0.446720033393431
"ACSBG2",3.2510261251646,-0.000666961106508906,0.112637528570517,0.461173584759256
"ACSF2",12.9249910764448,-0.0111750333899219,0.113091792628582,0.375855862796344
"ACSF3",7.04828581592202,-0.00705451159116352,0.112860429889618,0.394692787963526
"ACSL1",17.4436794274783,-0.00125720856731398,0.112292524755556,0.446850679153217
"ACSL3",51.471474048471,-0.00452865027455453,0.111853759312819,0.411635227037829
"ACSL4",3094.15825911529,0.0586921109386862,0.117157591533708,0.243907793951672
"ACSL5",47.0148575124776,-0.00195236754331607,0.111856879731322,0.438836808747245
"ACSL6",5.30583203487565,-0.00431164884979082,0.112727659896544,0.413975042685549
