"baseMean","log2FoldChange","lfcSE","svalue"
"ABCA1",163.846613812474,-2.21949246731528,0.631179049965916,2.80483414157869e-05
"ABCA10",6.41891847972218,0.0267338198747398,0.658430515978809,0.372540235043404
"ABCA11P",0.77879454706955,-0.0343624064207634,0.669689738040935,0.325780859302882
"ABCA12",10.5308584057019,-0.032185198201225,0.668677479250934,0.352593195501732
"ABCA13",15.6056409655751,-0.440674521026977,0.868551939170955,0.118013064547883
"ABCA17P",3.60928426525225,-0.0577408040739514,0.672022837776934,0.28046485597107
"ABCA2",316.594723204931,-0.0305975146757179,0.276035484663584,0.260642779557955
"ABCA3",16.1278634580151,-0.903734568304538,1.34478047381219,0.083129699965624
"ABCA4",9.69348446923212,0.0566446588341317,0.651478712234486,0.279527451805392
"ABCA5",10.7246006773478,-0.0568189000857836,0.655848606632724,0.279789463313099
"ABCA6",6.79233031222369,-0.121471818530935,0.682861131927862,0.224822146501444
"ABCA7",23.7862415813472,-0.990533677882699,1.08374858481567,0.0523994388779376
"ABCA8",6.94712302173523,-0.178521951461819,0.69225962042193,0.191912646758574
"ABCA9",7.27368357608187,-0.104906046626857,0.666191017460179,0.234752861403895
"ABCA9-AS1",0.431396568083329,-0.0226186625229708,0.666826035892137,0.376472892872624
"ABCB1",215.306369953493,0.466615097915539,0.337093515922554,0.0195663015222228
"ABCB10",4.02076065347692,-0.0191862876909273,0.654615381221581,0.378107039082627
"ABCB11",5.03091320300503,-0.0925651629641076,0.675852471255464,0.245257446057295
"ABCB4",8.54275124602479,-0.253744878945578,0.681423133447508,0.156009428517708
"ABCB5",6.97319353680575,-0.0214094986281147,0.657356360841373,0.376866999494247
"ABCB6",14.9270689721972,-0.167870444589215,0.579006266385562,0.181113503400091
"ABCB7",1523.31012194709,-0.0312443969831107,0.231044525561217,0.246286098944358
"ABCB8",5.77282204093354,-0.179394882323666,0.667212390191164,0.188194304412963
"ABCB9",99.5160589154422,0.522232401952074,0.459987283549997,0.0337804439411602
"ABCC1",28.3191052103933,-0.542470741425499,0.702378685369026,0.068476987387414
"ABCC10",15.5445382544524,-1.13552749005878,1.190683074312,0.0487768043900569
"ABCC11",4.87564183923108,-0.183656465628593,0.69546749480472,0.18967217463925
"ABCC12",6.04893536004303,-0.0830505660427534,0.674517787234564,0.253113001016705
"ABCC13",2.1066826529836,-0.0431871698012922,0.669334369963194,0.301707201319012
"ABCC2",5.17757725666477,-0.182263518082743,0.693939276469116,0.190180790364665
"ABCC3",6.01399067523202,-0.24809429047453,0.719443147956857,0.164620033594754
"ABCC4",11.7595880979586,-0.399645612950249,0.727923473311631,0.107818438970617
"ABCC5",222.274802207996,-1.41921264874569,0.343674670549991,1.86822070067415e-06
"ABCC5-AS1",0.77879454706955,-0.0343624064207634,0.669689738040935,0.325790598219665
"ABCC6",5.30362359363932,-0.0924436230357756,0.675662360365042,0.245316976843479
"ABCC6P1",1.82704913119231,-0.0263520739546958,0.667410306614566,0.373436026634128
"ABCC6P2",0.606213475936236,-0.0296341545703991,0.668506308571858,0.366297575379592
"ABCC8",6.42432992939442,-0.110945160439067,0.678884203428138,0.231957411397292
