id,SSU_49870,SSU_49871,SSU_49872,SSU_65981,SSU_65982,SSU_65983,SSU_65984,SSU_65985,SSU_65986
KCNA4,32,10,53,0,0,1,2,3,1
KCNA5,1,1,19,0,0,0,0,0,0
KCNA6,7,4,65,0,0,0,0,0,0
KCNA7,1,0,50,0,0,0,0,0,0
KCNAB1,6,0,99,3,4,2,1,5,1
KCNAB1-AS1,2,1,20,0,0,0,0,0,0
KCNAB1-AS2,1,0,17,0,0,0,0,0,0
KCNAB2,1477,979,548,156,126,247,280,166,191
KCNAB3,2,2,66,1,0,0,1,1,0
KCNB1,210,5,50,0,0,2,2,0,0
KCNB2,4,0,37,0,0,0,0,0,0
KCNC1,969,1604,620,86,208,90,39,57,57
KCNC2,5,3,78,1,0,0,0,1,0
KCNC3,8,3,85,0,0,0,4,4,0
KCNC4,20,2,60,2,1,2,0,0,0
KCNC4-AS1,0,0,21,0,0,0,0,0,0
KCND1,1,61,64,0,3,1,2,1,0
KCND2,3,2,71,0,0,0,0,0,0
KCND3,0,1,43,0,0,0,0,0,0
KCND3-AS1,0,0,15,0,0,0,0,0,0
KCND3-IT1,2,0,6,0,0,0,0,0,0
KCNE1,2,2,26,0,0,0,0,0,0
KCNE2,0,0,12,0,0,0,0,0,0
KCNE3,0,0,45,0,0,0,0,0,0
KCNE4,1,2,37,0,0,0,0,1,0
KCNE5,0,0,14,0,0,0,0,1,0
KCNF1,0,0,25,1,0,0,0,3,0
KCNG1,6,0,36,0,0,0,0,0,0
KCNG2,3,9,19,0,1,1,0,3,1
KCNG3,3,5,43,3,2,0,15,8,0
KCNG4,3,1,45,0,0,0,0,0,0
KCNH1,4,3,121,0,1,1,3,1,1
KCNH2,328,125,479,0,3,55,2,5,52
KCNH3,3,4,73,0,0,2,1,0,0
KCNH4,36,22,106,0,3,3,8,5,2
KCNH5,2,1,57,0,1,2,0,0,0
KCNH6,19,8,84,0,0,4,2,2,0
KCNH7,11,6,93,0,0,0,0,1,0
KCNH8,4,4,130,0,0,0,1,0,0
KCNIP1,2,0,53,0,1,0,0,0,0
KCNIP2,4,2,39,0,1,0,0,0,0
KCNIP2-AS1,0,0,6,0,0,0,0,0,0
KCNIP3,1,1,59,6,1,2,6,15,15
KCNIP4,16,7,93,3,0,7,2,2,3
